Official Name State,Official Name Suburb,latitude,longitude
New South Wales,Adaminaby,-36.01193159,148.7863204
New South Wales,Albury,-36.07369799,146.9134678
New South Wales,Alectown,-32.91425516,148.2680207
New South Wales,Alpine,-34.40869359,150.5367707
New South Wales,Argoon,-34.91797896,145.6572484
New South Wales,Arumpo,-33.61913169,143.0691661
New South Wales,Banda Banda,-31.19473803,152.4528639
New South Wales,Bannaby,-34.40979821,149.9949258
New South Wales,Bar Point,-33.49167114,151.1744106
New South Wales,Beggan Beggan,-34.65555947,148.2851308
New South Wales,Berry Park,-32.74383041,151.6574719
New South Wales,Biala,-34.59582566,149.2605481
New South Wales,Bindera,-32.0259903,151.8182358
New South Wales,Binya,-34.14319452,146.3394156
New South Wales,Birriwa,-32.12363321,149.4789544
New South Wales,Blackville,-31.6299681,150.2527987
New South Wales,Blueys Beach,-32.35031773,152.529807
New South Wales,Bocobra,-33.10172827,148.5361884
New South Wales,Bogong Peaks Wilderness,-35.52309275,148.3838168
New South Wales,Broadmeadow,-32.92498917,151.7337896
New South Wales,Broughams Gate,-30.88845354,141.2506616
New South Wales,Brumby Plains,-28.46326966,152.6553726
New South Wales,Budawang,-35.40064066,150.0492205
New South Wales,Burrell Creek,-31.94826943,152.300408
New South Wales,Burroway,-32.05865837,148.326267
New South Wales,Cabramatta West,-33.89238299,150.9136188
New South Wales,Camperdown (NSW),-33.88843165,151.1819518
New South Wales,Cardiff Heights,-32.9326815,151.6724689
New South Wales,Chippendale,-33.88634511,151.1995485
New South Wales,Congo,-35.95689357,150.134698
New South Wales,Coolabah,-30.98386187,146.6863894
New South Wales,Coorabell,-28.63197696,153.4900936
New South Wales,Coraki,-28.98953846,153.273909
New South Wales,Coxs Creek,-32.7324165,150.1223706
New South Wales,Crooble,-29.2992185,150.2795225
New South Wales,Crows Nest (NSW),-33.82574548,151.2037406
New South Wales,Darbalara,-35.05996099,148.2376668
New South Wales,Dripstone,-32.63882489,149.0218244
New South Wales,East Lynne,-35.58829389,150.2788928
New South Wales,East Ryde,-33.81005326,151.1359104
New South Wales,Ermington,-33.81152446,151.0600911
New South Wales,Euchareena,-32.94367742,149.1187314
New South Wales,Eurobodalla,-36.16815257,149.9590265
New South Wales,Fawcetts Plain,-28.56628265,153.0125103
New South Wales,Ferodale,-32.71010849,151.8411874
New South Wales,Forest Reefs,-33.46445304,149.0782283
New South Wales,Frog Rock,-32.46897569,149.6812227
New South Wales,Georgetown (NSW),-32.90928402,151.731385
New South Wales,Gerringong,-34.7389873,150.8250367
New South Wales,Glengarrie,-28.23200641,153.3994644
New South Wales,Gocup,-35.24593229,148.1870545
New South Wales,Great Mackerel Beach,-33.5908098,151.299725
New South Wales,Greendale (Bega Valley - NSW),-36.58451736,149.8614956
New South Wales,Greenfield Park,-33.8746367,150.8919823
New South Wales,Gumbalie,-30.11474038,145.2079434
New South Wales,Hamilton East,-32.92745427,151.7546468
New South Wales,Hay (NSW),-34.38421016,144.8427434
New South Wales,Hinton,-32.72204974,151.6664512
New South Wales,Holgate,-33.40478315,151.4049566
New South Wales,Hyland Park,-30.61213798,153.0006098
New South Wales,Illabo,-34.82793185,147.7509802
New South Wales,Ingleside,-33.69248136,151.2577714
New South Wales,Jaunter,-33.98549118,149.9160976
New South Wales,Jerrabomberra,-35.38332453,149.2012412
New South Wales,Junction Hill,-29.63722267,152.930356
New South Wales,Kanangra,-33.98864258,150.0884407
New South Wales,Kangaroo Valley,-34.73444206,150.4782298
New South Wales,Keinbah,-32.75461559,151.4074982
New South Wales,Keiraville,-34.40931776,150.8727401
New South Wales,Kyeemagh,-33.94901578,151.1605387
New South Wales,Kyle Bay,-33.98924954,151.0999806
New South Wales,Lade Vale,-34.85014414,149.1577493
New South Wales,Lakesland,-34.18490039,150.495702
New South Wales,Lavington,-36.03484194,146.9345668
New South Wales,Lawson (NSW),-33.71979287,150.4340946
New South Wales,Longreach (NSW),-34.87078679,150.5278449
New South Wales,Louth Park,-32.77078462,151.5482868
New South Wales,Lugarno,-33.98252515,151.0451568
New South Wales,Mabins Well,-34.90693671,145.5255921
New South Wales,Magenta (NSW),-33.30052022,151.534082
New South Wales,Mallabula,-32.73341365,152.0135716
New South Wales,Manar,-35.2693168,149.6781731
New South Wales,Marlowe,-35.27064434,149.8801199
New South Wales,Middle Brother,-31.69007883,152.710233
New South Wales,Middle Cove,-33.79291978,151.2124794
New South Wales,Mollymook Beach,-35.3277108,150.4695237
New South Wales,Monterey,-33.97224912,151.1477263
New South Wales,Moorilda,-33.62740941,149.3265713
New South Wales,Morans Crossing,-36.66660371,149.6522946
