Year,Melanoma_Mortablity,"Non_melanoma_Mortablity
"
1971,2.7,1.1
1972,2.8,1
1973,2.8,1
1974,2.9,1.2
1975,3.1,1.1
1976,3.1,1.1
1977,3.6,1.5
1978,3.5,1.4
1979,3.7,1.2
1980,3.7,1.1
1981,3.8,1.3
1982,3.9,1.2
1983,4,1.4
1984,4.1,1.5
1985,4.3,1.2
1986,4.3,1.3
1987,4.9,1.4
1988,4.7,1.3
1989,4.7,1.7
1990,4.9,1.5
1991,4.7,1.5
1992,5,2.1
1993,4.8,2.1
1994,5,2
1995,5.2,2
1996,5,2
1997,4.9,1.9
1998,5.2,1.9
1999,5.3,2
2000,5.1,1.9
2001,5.6,2
2002,5.4,2.1
2003,5.8,2
2004,6,1.8
2005,6.3,2
2006,6.1,2
2007,6.3,2.2
2008,6.6,1.9
2009,6.5,2.2
2010,6.5,2
2011,6.9,2.4
2012,6.8,2.4
2013,7,2.6
2014,6.3,2.6
2015,6.3,2.7
2016,5.3,2.8
2017,5.8,2.6
2018,5.6,2.7
2019,5.6,2.7
2020,5.5,2.8
2021,5.7,3
2022,5.2,3
2023,5,3
